Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-03-25 00:00:00-04:00,627.9000244140625,630.4600219726562,623.1599731445312,627.4600219726562,1803300,0.0,0.0
2024-03-26 00:00:00-04:00,625.2000122070312,634.3900146484375,619.1799926757812,629.239990234375,2804500,0.0,0.0
2024-03-27 00:00:00-04:00,629.010009765625,631.3499755859375,610.72998046875,613.530029296875,2628300,0.0,0.0
2024-03-28 00:00:00-04:00,614.989990234375,615.0,601.5900268554688,607.3300170898438,3708800,0.0,0.0
2024-04-01 00:00:00-04:00,608.0,615.1099853515625,605.5700073242188,614.3099975585938,2115900,0.0,0.0
2024-04-02 00:00:00-04:00,611.0,615.030029296875,605.510009765625,614.2100219726562,2029200,0.0,0.0
2024-04-03 00:00:00-04:00,612.75,630.4099731445312,611.5,630.0800170898438,2931200,0.0,0.0
2024-04-04 00:00:00-04:00,633.2100219726562,638.0,616.5800170898438,617.1400146484375,3064300,0.0,0.0
2024-04-05 00:00:00-04:00,624.9199829101562,637.9099731445312,622.7100219726562,636.1799926757812,3372800,0.0,0.0
2024-04-08 00:00:00-04:00,636.3900146484375,639.0,628.1099853515625,628.4099731445312,2145700,0.0,0.0
2024-04-09 00:00:00-04:00,631.989990234375,631.989990234375,615.6300048828125,618.2000122070312,2146600,0.0,0.0
2024-04-10 00:00:00-04:00,610.969970703125,620.1400146484375,609.3400268554688,618.5800170898438,2806200,0.0,0.0
2024-04-11 00:00:00-04:00,624.4199829101562,631.6599731445312,617.239990234375,628.780029296875,2662700,0.0,0.0
2024-04-12 00:00:00-04:00,628.22998046875,633.1199951171875,618.9199829101562,622.8300170898438,2956500,0.0,0.0
2024-04-15 00:00:00-04:00,630.1699829101562,630.1699829101562,603.8699951171875,607.1500244140625,3085400,0.0,0.0
2024-04-16 00:00:00-04:00,607.5,622.4500122070312,607.5,617.52001953125,3519100,0.0,0.0
2024-04-17 00:00:00-04:00,620.969970703125,620.969970703125,607.7100219726562,613.6900024414062,3312200,0.0,0.0
2024-04-18 00:00:00-04:00,612.0999755859375,621.3300170898438,605.4299926757812,610.5599975585938,8468400,0.0,0.0
2024-04-19 00:00:00-04:00,567.8800048828125,579.0,552.1599731445312,555.0399780273438,16425000,0.0,0.0
2024-04-22 00:00:00-04:00,550.0,558.6099853515625,542.010009765625,556.2899780273438,6360339,0.0,0.0
